category,document
__label__식품, 커피명가
__label__식품, 공차
__label__식품, 마시그레이
__label__식품, 봄봄
__label__식품, 더벤티
__label__식품, 투다리
__label__식품, 포차천국
__label__식품, 생활맥주
__label__식품, 뉴욕야시장
__label__식품, 크라운호프보리장인
__label__식품, 삼구포차
__label__식품, 오사카부루스
__label__식품, 경성주막
__label__식품, 여가 맥주
__label__식품, 달빛경성술집
__label__식품, 고기
__label__식품, 채소
__label__식품, 과일
__label__식품, 양념
__label__식품, 조미료
__label__식품, 어류
__label__식품, 해산물
__label__식품, 유제품
__label__식품, 빵
__label__식품, 곡물
__label__식품, 밥
__label__식품, 면
__label__식품, 
__label__식품, 스프
__label__식품, 소스
__label__식품, 음식
__label__식품, 요리
__label__식품, 조리
__label__식품, 레시 피
__label__식품, 디저트
__label__식품, 초콜릿
__label__식품, 과자
__label__식품, 간식
__label__식품, 주스
__label__식품, 커피
__label__식품, 맥주
__label__식품, 소주
__label__식품, 조개
__label__식품, 새우
__label__식품, 게
__label__식품, 오징어
__label__식품, 문어
__label__식품, 꽃게
__label__식품, 해물
__label__식품, 연어
__label__식품, 소시지
__label__식품, 소기
__label__식품, 돼지고기
__label__식품, 닭고기
__label__식품, 양고기
__label__식품, 오리고기
__label__교통, 티머니
__label__교통, 한국철도공사
__label__교통, 대한항공
__label__교통, 티웨이항공
__label__교통, 아시아나
__label__교통, 피치항공
__label__교통, 제주항공
__label__교통, 에어부산
__label__교통, 에어서울
__label__교통, 진에어
__label__교통, 이스타항공
__label__쇼핑, 쿠팡
__label__쇼핑, 네이버
__label__쇼핑, G마켓
__label__쇼핑, 11번가
__label__여가, 라이또PC방
__label__여가, 스타덤PC
__label__여가, 아이리스팝
__label__여가, 맥스피드PC
__label__여가, 더엑스쿡PC방
__label__여가, 크라우드PC방
__label__여가, 제너스PC
__label__여가, 피에스타PC방
__label__여가, 해피로PC
__label__여가, 앤유 PC방
__label__여가, CGV
__label__여가, 롯데시네마
__label__여가, 메가박스
__label__여가, 넷플릭스
__label__여가, 디즈니 플러스
__label__여가, 티빙
__label__여가, 왓챠
__label__여가, 애플 TV+
__label__여가, 아마존 프라임 비디오
__label__여가, 티켓링크
__label__여가, 인터파크
__label__여가, 예스25
__label__여가, 멜론
__label__여가, 벅스
__label__여가, 플로
__label__여가, 뮤직
__label__여가, 네이버 바이브 뮤직
__label__여가, 소리바다
__label__여가, 스포티파이
__label__여가, 애플 뮤직
__label__여가, YouTubePremium
__label__여가, 수노래방
__label__여가, 악쓰는하마코인노래연습장
__label__여가, 락휴노래연습장
__label__여가, 슈퍼스타코인노래연습장
__label__여가, 세븐스타코인노래연습장
__label__여가, 준코노래타운
__label__여가, 엔젤스코인노래연습장
__label__여가, 퍼펙트싱어동전노래연습장
__label__여가, KPOP코인노래연습장
__label__여가, 텐텐동전노래연습장
__label__여가, 더보이스코인노래연습장
__label__자기계발, MK휘트니스
__label__자기계발, 올리브짐
__label__자기계발, VIP휘트니스
__label__자기계발, 크로스핏 라임라잇
__label__자기계발, 고투
__label__자기계발, 더스토리짐
__label__자기계발, 휘트니스피플
__label__자기계발, 에이블짐
__label__자기계발, JY휘트니스
__label__자기계발, 스포애니
__label__여가, 경주월드
__label__여가, 롯데월드
__label__여가, 서울랜드
__label__여가, 에버랜드
__label__여가, 레고랜드
__label__여가, 에코랜드
__label__여가, 서울어린이대공원
__label__여가, 캐리비안 베이
__label__여가, 이월드
__label__여가, 오션월드
__label__여가, 디오션워터파크
__label__여가, 캘리포니아 비치
__label__여가, 롯데 워터파크
__label__여가, 하이원리조트 스키장
__label__여가, 용평리조트 스키장
__label__여가, 평창 휘닉스파크 스키장
__label__여가, 비발디 파크 스키장
__label__여가, 곤지암 리조트 스키장
__label__여가, 취미
__label__여가, 여행
__label__여가, 관광
__label__여가, 책
__label__여가, 영화
__label__여가, 음악
__label__여가, 공연
__label__여가, 연극
__label__여가, 미술
__label__여가, 회화
__label__여가, 조각
__label__여가, 사진
__label__여가, 등산
__label__여가, 캠핑
__label__여가, 낚시
__label__여가, 스포츠
__label__여가, 축구
__label__여가, 농구
__label__여가, 야구
__label__여가, 테니스
__label__여가, 골프
__label__여가, 수영
__label__여가, 스노우보드
__label__여가, 스키
__label__여가, 보드 게임
__label__여가, 카드 게임
__label__여가, 보컬
__label__여가, 악기
__label__여가, 노래
__label__여가, 요리 클래스
__label__여가, 휴식
__label__여가, 마사지
__label__여가, 스파
__label__여가, 온천
__label__여가, 바베큐
__label__여가, 피크닉
__label__여가, 휴대폰
__label__여가, 소셜 미디어
__label__여가, 게임
__label__여가, 비디오 게임
__label__여가, 퍼즐
__label__여가, 캠핑카
__label__여가, 동물원
__label__여가, 식물원
__label__여가, 수족관
__label__여가, 박물관
__label__여가, 역사
__label__여가, 문화
__label__여가, 예술
__label__여가, 체험
__label__여가, 승마
__label__쇼핑, 하프클럽
__label__쇼핑, SSF삽
__label__쇼핑, 29cm
__label__쇼핑, 패션플러스
__label__쇼핑, 더블유컨셉
__label__쇼핑, 에이블리
__label__쇼핑, 젝시믹스
__label__쇼핑, 이랜드몰
__label__쇼핑, LF몰
__label__쇼핑, 크림
__label__쇼핑, 코스트코홀세일
__label__쇼핑, 이마트트레이더스
__label__쇼핑, 이마트
__label__쇼핑, 홈플러스
__label__쇼핑, 하나로마트
__label__쇼핑, 메가마트
__label__쇼핑, 빅마켓
__label__쇼핑, 삼성전자
__label__쇼핑, LG전자
__label__쇼핑, 롯데하이마트
__label__쇼핑, 일렉트로 마트
__label__쇼핑, 쇼핑
__label__쇼핑, 구매
__label__쇼핑, 상점
__label__쇼핑, 매장
__label__쇼핑, 할인
__label__쇼핑, 마트
__label__쇼핑, 백화점
__label__쇼핑, 온라인 쇼핑
__label__쇼핑, 쇼핑몰
__label__쇼핑, 세일
__label__쇼핑, 특가
__label__쇼핑, 프로모션
__label__쇼핑, 현금
__label__쇼핑, 택배
__label__쇼핑, 패션
__label__쇼핑, 의류
__label__쇼핑, 신발
__label__쇼핑, 악세사리
__label__쇼핑, 가방
__label__쇼핑, 화장품
__label__쇼핑, 올리브 영
__label__쇼핑, 주얼리
__label__쇼핑, 시계
__label__쇼핑, 가전제품
__label__쇼핑, 전자제품
__label__쇼핑, 가구
__label__쇼핑, 가전제품
__label__쇼핑, 악기
__label__쇼핑, 음반
__label__쇼핑, 
__label__쇼핑, 컴퓨터
__label__쇼핑, 스마트폰
__label__쇼핑, 테 블
__label__쇼핑, 마우스
__label__쇼핑, 키보드
__label__쇼핑, 그래픽 카드
__label__쇼핑, 모니터
__label__고정지출, SK텔레콤
__label__고정지출, KT
__label__고정지출, LG유플러스
__label__고정지출, SKT 인터넷
__label__고정지출, KT 인터넷
__label__고정지출, 한전
__label__고정지출, 한국장학재단
__label__고정지출, 삼성생명
__label__고정지출, 한화 생명
__label__고정지출, 미래에셋 생명
__label__고정지출, 교보생명
__label__고정지출, 신한 라이프
__label__고정지출, 흥국생명
__label__고정지출, 동양생명
__label__고정지출, 라이나생명
__label__고정지출, NH농협생명
__label__고정지출, ABL생명
__label__고정지출, DB생명
__label__고정지출, KDB생명
__label__고정지출, 메트라이프생명
__label__고정지출, KB라이프생명
__label__고정지출, DGB생명
__label__고정지출, 푸본현대생명
__label__고정지출, AIA생명
__label__고정지출, 생명
__label__고정지출, 보험
__label__고정지출, 현대해상
__label__고정지출, 삼성화재
__label__고정지출, 농협 손해보험
__label__고정지출, 메리츠화재
__label__고정지출, KB손해보험
__label__고정지출, DB손해보험
__label__고정지출, 흥국화재
__label__고정지출, 한화손해보험
__label__고정지출, 롯데손해보험
__label__고정지출, AIG손해보험
__label__고정지출, 악사손해보험
__label__고정지출, MG손해보험
__label__고정지출, 더케이손해보험
__label__자기계발, 교보문고
__label__자기계발, 예스24
__label__자기계발, 알라딘
__label__자기계발, 인터파크도서
__label__자기계발, 영풍문고
__label__자기계발, 반디앤루이스
__label__자기계발, 밀리의서재
__label__자기계발, 해커스
__label__자기계발, 대성마이맥
__label__자기계발, 메가스터디
__label__자기계발, 이투스
__label__자기계발, 영단기
__label__자기계발, 디쉐어
__label__자기계발, ECK교육
__label__자기계발, 시원스쿨
__label__자기계발, 인프런
__label__자기계발, 유데미
__label__자기계발, 클래스101
__label__자기계발, 책
__label__자기계발, 헬스
__label__자기계발, 피트니스
__label__자기계발, 
__label__식품, 버거킹
__label__교통, 바이크
__label__교통, 로카모빌리티
__label__기타, 카카오페이
__label__기타, 토스페이
__label__교통, 쏘카
__label__교통, SK에너지
__label__교통, 현대오일뱅크
__label__교통, GS칼택스
__label__교통, S-Oil
__label__교통, 자동차
__label__교통, 버스
__label__교통, 지하철
__label__교통, 기차
__label__교통, 택시
__label__교통, 자전거
__label__교통, 전철
__label__교통, 고속도로
__label__교통, 주차장
__label__교통, 교통카드
__label__여가, 인생네컷
__label__고정지출, 월세
__label__고정지출, 전세
__label__고정지출, 대출
__label__고정지출, 수도 요금
__label__고정지출, 전기 요금
__label__고정지출, 가스 비
__label__고정지출, 인터넷 요금
__label__고정지출, 휴대폰 요금
__label__고정지출, 보험료
__label__고정지출, 자동차 보험료
__label__고정지출, 건강 보험료
__label__고정지출, 생명 보험료
__label__고정지출, 자동차 대출
__label__고정지출, 신용카드 대금
__label__고정지출, 교육비
__label__고정지출, 학비
__label__고정지출, 유치원비
__label__고정지출, 어린이집
__label__고정지출, 학원비
__label__고정지출, 자동차세
__label__고정지출, 재산세
__label__고정지출, 교통세
__label__고정지출, 건물 관리비
__label__고정지출, 주택 보험료
__label__고정지출, 임대료
